#,Naam,Status,Cluster,Bestanden,Affiliate_potentie,Waar_aanmelden,Netwerk,Geschatte_CPA,Actie,Urgentie
1,Babbel,B — CTA zonder tracking,Language Learning,5,Midden,impact.com of babbel.com/affiliates,Impact.com,€8-15 per abonnement,Aanmelden + tracking URL in 5 bestanden vervangen,QUICKWIN — CTA staat al klaar
2,Preply,B — CTA zonder tracking,Language Learning,5,Midden-Hoog,preply.com/en/affiliate-program,Direct,€10-25 per eerste les,Aanmelden + tracking URL in 5 bestanden vervangen,QUICKWIN — CTA staat al klaar
3,iTalki,B — CTA zonder tracking,Language Learning,4,Midden,italki.com/affiliate,Direct,€5-15 per eerste les,Aanmelden + tracking URL in 4 bestanden vervangen,QUICKWIN — CTA staat al klaar
4,Surfshark,B — CTA zonder tracking,VPN,1,Hoog,surfshark.com/affiliates,Direct,€15-40 per abonnement,Aanmelden + tracking URL vervangen + uitbreiden naar VPN pagina,QUICKWIN — CTA staat al klaar
5,Revolut,D1 — Mention hoog prioriteit,Banking & Fintech,13,Hoog,revolut.com/referral-program,Direct (referral),€5-25 per nieuwe klant,Referral link aanvragen + links + CTA's in 13 bestanden,HOOG — na Wise meest genoemd fintech
6,bunq,C — Link zonder tracking,Banking & Fintech,6,Midden,bunq.com/en/affiliate of referral app,Direct,€10-20 per geopende rekening,Affiliate/referral link + bare links in 6 bestanden upgraden,HOOG — links staan al in content
7,N26,C — Link zonder tracking,Banking & Fintech,4,Midden,n26.com/en/referral of partnerstack,Direct/Partnerstack,€10-20 per geopende rekening,Referral link + bare links in 4 bestanden upgraden,HOOG — links staan al in content
8,KPN,D1 — Mention hoog prioriteit,Telecom & Internet,8,Hoog,Daisycon (publisher goedgekeurd),Daisycon,€15-30 per abonnement,Programma aanvragen bij Daisycon + links toevoegen in 8 bestanden,HOOG — marktleider + Daisycon al goedgekeurd
9,T-Mobile NL / Odido,D1 — Mention hoog prioriteit,Telecom & Internet,8,Hoog,Daisycon of odido.nl/partners,Daisycon,€15-30 per abonnement,Programma aanvragen + links toevoegen in 8 bestanden,HOOG — zelfde volume als KPN
10,Ziggo / VodafoneZiggo,D1 — Mention hoog prioriteit,Telecom & Internet,7,Hoog,Daisycon of awin.com,Daisycon/AWIN,€20-40 per internetabonnement,Programma aanvragen + links toevoegen in 7 bestanden,HOOG — grootste kabelaanbieder NL
11,Vattenfall,D1 — Mention hoog prioriteit,Energie,3,Midden-Hoog,Daisycon (publisher goedgekeurd),Daisycon,€25-50 per energiecontract,Programma aanvragen bij Daisycon + links toevoegen,HOOG — Daisycon al goedgekeurd
12,Eneco,D1 — Mention hoog prioriteit,Energie,2,Midden-Hoog,Daisycon of eneco.nl/zakelijk,Daisycon,€25-50 per energiecontract,Programma aanvragen + links toevoegen,HOOG — aanvulling op Vattenfall
13,Cigna Global,D1 — Mention hoog prioriteit,Insurance,5,Hoog,cignahealthbenefits.com (broker),Direct,€50-200+ per polis,Directe aanmelding als broker/partner,HOOG — hoge premies = hoge commissie
14,HousingAnywhere,D1 — Mention hoog prioriteit,Housing,5,Midden-Hoog,housinganywhere.com/partners,Direct,€15-30 per succesvolle verhuur,Partnerprogram aanmelden + links toevoegen,HOOG — expat-specifiek platform
15,Booking.com,D2 — Mention midden prioriteit,Housing / Accommodatie,3,Midden,booking.com/affiliate-program,Direct,4-6% per boeking,Affiliate aanmelden + links toevoegen,MIDDEN — groot programma maar lager volume
16,Kamernet,C — Link zonder tracking,Housing,9,Laag-Midden,kamernet.nl (zakelijk contact),Direct,Onderhandelen,Zakelijk contact + links upgraden in 9 bestanden,MIDDEN — veel links maar lage CPA
17,Swapfiets,C — Link zonder tracking,Transport,2,Midden,swapfiets.nl/affiliate of partnerstack,Direct/Partnerstack,€5-15 per abonnement,Affiliate aanmelden + links upgraden,MIDDEN — uniek expat product
